pair,avg_volume,price_stability,rows
YOYOW_BTC,147353.13531353135,0.04272927292729272,303
XVG_BTC,136022.06153846154,0.0032234432234432182,65
SNGLS_BTC,74217.13978494624,0.011711108485302046,279
FUN_ETH,42056.77777777778,0.0007558578987150425,18
SNM_BTC,30826.060606060608,0.01704168200854839,363
XVG_ETH,25437.47619047619,0.0003456292898040438,42
WTC_BTC,16699.081196581195,0.011121096203554065,234
FUN_BTC,15899.2,0.0007389162561576323,95
DNT_ETH,12566.166666666666,6.019020103526068e-05,6
SNM_ETH,4309.88,0.000578188511804252,25
IOTA_BTC,3618.8846153846152,0.0007429322864688654,130
SNT_ETH,2640.6,9.115770282588792e-05,10
LRC_BTC,2595.63,0.0005468638365985604,100
STRAT_BTC,2479.5824915824915,0.0029262342012181717,297
IOTA_ETH,2116.684210526316,0.0003425803492351918,19
OAX_ETH,2035.4615384615386,0.0014453211954119389,39
SNGLS_ETH,1710.75,0.0,4
ICN_ETH,1493.6233766233765,0.003212940527880456,154
SALT_BTC,1318.5119565217392,0.002161695243172254,184
LRC_ETH,1092.1933333333334,0.0004225822646531698,150
BQX_BTC,937.1449579831933,0.0026790468423307564,476
ZRX_BTC,914.3423423423424,0.0004992685174447393,111
WTC_ETH,793.8761111111112,0.002478755873326012,72
ZRX_ETH,708.0,0.0003353454057679264,6
KNC_BTC,587.7307692307693,0.0004483057790824707,26
STRAT_ETH,578.0836999999999,0.0025153670104207755,100
SALT_ETH,386.8093999999999,0.0019203615010556568,100
BQX_ETH,340.2889908256881,0.0013571855482691043,218
OMG_BTC,331.06081081081084,0.000910146249404906,74
ETH_USDT,306.3268715151515,0.0009912921951984685,495
MCO_ETH,151.215,0.006309541449228131,160
QTUM_BTC,138.51142857142858,0.0001762028090412164,35
KNC_ETH,138.09090909090907,0.000525354042941983,11
BCC_BTC,137.51835020242916,0.004276112218976796,494
EOS_ETH,136.77578125,0.00010091798037024051,128
LINK_BTC,113.84873589164786,0.0007037407337755197,443
HSR_BTC,91.80643067846607,0.004538393240689194,339
BNT_ETH,71.45,0.0,6
LINK_ETH,54.759534883720924,0.0005221716724160199,258
OMG_ETH,48.324999999999996,7.911392405063484e-05,16
MCO_BTC,43.33229074889868,0.0010128917457092395,227
LTC_BTC,39.81684415584415,0.0006582448839733243,385
ETH_BTC,31.215136565656568,0.0006179940348815484,495
BTC_USDT,28.038628929292933,0.0007866206744193091,495
QTUM_ETH,23.78,0.0008906015787021413,10
NEO_BTC,23.772499999999997,0.0002777067721441171,144
GAS_BTC,20.142857142857146,0.0007093003782367184,49
BNB_BTC,16.1804202020202,0.0005999479887543233,495
NEO_ETH,9.79888888888889,0.0002577984016499033,9
BNB_ETH,4.219975342465753,0.0004941736161357624,365
